API/UWI,Well Count,Operator Alias (Legacy),Well/Lease Name,Well Number,County/Parish,Reservoir,Production Type,Producing Status,Drill Type,Measured Depth (TD),Spud Date,First Prod Date,Last Prod Date,Months Produced,Cum Gas,Daily Gas,Cum Oil,Daily Oil,Latest Oil,Latest Gas,Cum Water,Cum BOE,DI Subplay,First Month Oil,First Month Gas,First 6 Oil,DI Basin,First 6 Gas,First 6 BOE,First 6 Water,DI Play,Prac IP Oil Daily,Prac IP BOE,Prac IP Gas Daily,Prac IP CFGED,Latest Water,Prior 12 Oil,Prior 12 Gas,Last Test Date,Prior 12 Water,Last Flow Pressure,Last WHSIP,2nd Month GOR,Latest GOR,Cum GOR,Last 12 Yield,2nd Month Yield,Latest Yield,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak BOE,Peak BOE Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Upper Perforation,Lower Perforation,Gas Gravity,Oil Gravity,Completion Date,Max Active Wells,Gas Gatherer,Oil Gatherer,Lease Number,Gross Perforated Interval,True Vertical Depth,Field,State,District,AAPG Geologic Province,Section,Country,Township,Range,Surface Latitude (WGS84),Abstract,Surface Longitude (WGS84),Block,OCS Area,PGC Area,Survey,Entity ID,EUR Calc Date,EUR Oil (BE),EUR Oil Delta (BE),EUR Oil Delta Percent (BE),EUR Gas (BE),EUR Gas Delta (BE),EUR Gas Delta Percent (BE),Oil RRR (BE),Gas RRR (BE),EUR Oil (Full),EUR Gas (Full),Oil RRR (Full),Operator (Reported),Gas RRR (Full),Last 12 Oil,Last 12 Gas,Last 12 Water,First Inj Date,Last Inj Date,Last Inj Gas  (MCF),Last Inj Water (BBL),Last Inj Other (BBL),Cum Inj Gas (MCF),Cum Inj Water (BBL),Cum Inj Other (BBL),Last Inj Product Types,Inj Product Types,Last Inj Pressure (PSI),EUR Oil Months (BE),EUR Oil Proxy (Y/N),EUR Oil B-Factor (BE),EUR Gas Months (BE),EUR Gas Proxy (Y/N),EUR Gas B-Factor (BE),EUR Oil Months (Full),EUR Oil B-Factor (Full),EUR Gas Months (Full),EUR Gas B-Factor (Full),Other No.,Total MMbbl,Total BCF
42103101650000,1,"BLACKBEARD OPERATING, LLC",WADDELL TR I,,CRANE (TX),JUDKINS,OIL,INACTIVE,V,5640.0,1966-12-10,,,,,,,,,,,,,,,,CENTRAL BASIN PLATFORM,,,,CENTRAL BASIN PLATFORM,,,,,,,,2021-07-18,,,,,,,,,,,,,,,,,,2510.0,3998.0,,33.0,2001-10-26,,ENERGY TRANSFER COMPANY,"PLAINS MARKETING, L.P.",55837,1488.0,,SAND HILLS,TX,8,PERMIAN BASIN,15.0,USA,,,31.3865356,145.0,-102.6421888,3,,P-440,H&TC RR CO,130969810,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0,,
42103355540000,1,"BLACKBEARD OPERATING, LLC",WADDELL TR B,,CRANE (TX),WOLFCAMP,OIL,INACTIVE,V,5900.0,1968-06-14,,,,,,,,,,,,,,,,CENTRAL BASIN PLATFORM,,,,CENTRAL BASIN PLATFORM,,,,,,,,2021-01-15,,,,,,,,,,,,,,,,,,5520.0,5706.0,,41.0,1968-07-11,,TARGA MIDSTREAM SERVICES LLC,"PLAINS MARKETING, L.P.",55732,186.0,,SAND HILLS,TX,8,PERMIAN BASIN,28.0,USA,,,31.5132353,1271.0,-102.6024762,B26,,P-440,PSL,130963857,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0,,
42103330320000,2,"BLACKBEARD OPERATING, LLC",WADDELL TR D,,CRANE (TX),CLEAR FORK,OIL,ACTIVE,V,5476.0,2020-08-11,2020-12-01,2021-10-01,11.0,4299.0,13.0,6606.0,20.0,356.0,101.0,52280.0,7323.0,,1569.0,,4528.0,CENTRAL BASIN PLATFORM,1754.0,4820.0,35835.0,CENTRAL BASIN PLATFORM,13.0,13.0,0.0,75484.0,2817.0,,,2020-12-09,,,,0.0,650.772,650.0,1536.636,,3524.8,1216.0,1.0,1569.0,1.0,1569.0,1.0,9.0,1.0,4220.0,5000.0,,41.5,2020-11-17,2.0,"DCP OPERATING COMPANY, LP","PLAINS MARKETING, L.P.",55686,780.0,,SAND HILLS,TX,8,PERMIAN BASIN,7.0,USA,,,31.5320406,1241.0,-102.7143933,B21,,P-440,PSL,130960318,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,6606.0,4299.0,52280.0,,,,,,,,,,,,,,,,,,,,,,4030,0.006606,0.004299
42103367400000,1,"BLACKBEARD OPERATING, LLC",6 POUNDER NWSW,22,CRANE (TX),CLEAR FORK,OIL,ACTIVE,V,5398.0,2020-10-20,2020-11-01,2021-10-01,12.0,762700.0,2090.0,40276.0,110.0,2758.0,54516.0,94588.0,167393.0,,1081.0,7588.0,21103.0,CENTRAL BASIN PLATFORM,392891.0,86585.0,49190.0,CENTRAL BASIN PLATFORM,104.0,517.0,2480.0,3104548.0,6530.0,,,2021-04-30,,,,23810.0,18936.836,18940.0,52.807,42.0,50.6,83850.0,5.0,4772.0,5.0,18747.0,5.0,112.0,5.0,3970.0,4900.0,,34.0,2020-11-18,1.0,TARGA MIDSTREAM SERVICES LLC,"PLAINS MARKETING, L.P.",55471,930.0,,SAND HILLS,TX,8,PERMIAN BASIN,4.0,USA,,,31.538993,1111.0,-102.7165989,B21,,P-440,PSL,130950544,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,40276.0,762700.0,94588.0,,,,,,,,,,,,,,,,,,,,,,8250,0.040276,0.7627
42103367340000,1,"BLACKBEARD OPERATING, LLC",WADDELL TR D-1,,CRANE (TX),WOLFCAMP,OIL,INACTIVE,V,6525.0,2020-09-24,,,,,,,,,,,,,,,,CENTRAL BASIN PLATFORM,,,,CENTRAL BASIN PLATFORM,,,,,,,,2021-06-30,,,,,,,,,,,,,,,,,,5875.0,6190.0,,40.6,2020-10-26,,"DCP OPERATING COMPANY, LP","PLAINS MARKETING, L.P.",55469,315.0,,SAND HILLS,TX,8,PERMIAN BASIN,7.0,USA,,,31.5334152,1242.0,-102.7069412,B21,,P-440,PSL,130950541,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,4030,,
42103023500000,1,"BLACKBEARD OPERATING, LLC",WADDELL TR C,,CRANE (TX),"SAN ANGELO, UPPER",OIL,ACTIVE,V,5011.0,1952-04-27,2020-04-01,2021-10-01,18.0,2617.0,4.0,2796.0,5.0,204.0,58.0,189402.0,3232.0,,210.0,191.0,1129.0,CENTRAL BASIN PLATFORM,1107.0,1314.0,29261.0,CENTRAL BASIN PLATFORM,5.0,6.0,5.0,37903.0,21002.0,1182.0,1169.0,2021-07-15,30635.0,,,910.0,897.15,940.0,1114.641,1096.8,3517.2,269.0,10.0,210.0,1.0,242.0,1.0,1.0,1.0,3440.0,4568.0,,40.0,1981-11-12,1.0,"DCP OPERATING COMPANY, LP",EASTEX CRUDE COMPANY,55404,1128.0,,SAND HILLS,TX,8,PERMIAN BASIN,21.0,USA,,,31.5245564,1268.0,-102.5982638,B26,,P-440,PSL,130948629,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,1614.0,1448.0,158767.0,,,,,,,,,,,,,,,,,,,,,,0,0.002796,0.002617
42103342260000,1,"BLACKBEARD OPERATING, LLC",WADDELL TR B,,CRANE (TX),CLEAR FORK,OIL,INACTIVE,V,4981.0,1993-08-01,,,,,,,,,,,,,,,,CENTRAL BASIN PLATFORM,,,,CENTRAL BASIN PLATFORM,,,,,,,,2021-03-31,,,,,,,,,,,,,,,,,,4050.0,4250.0,,37.6,1993-09-02,,"DCP OPERATING COMPANY, LP","PLAINS MARKETING, L.P.",55306,200.0,,SAND HILLS,TX,8,PERMIAN BASIN,28.0,USA,,,31.5085828,1271.0,-102.5923493,B26,,P-440,PSL,130881214,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,0,,
42103367090000,1,"BLACKBEARD OPERATING, LLC",YELLOW JACK SWSW,11,CRANE (TX),CLEAR FORK,OIL,ACTIVE,V,5305.0,2020-03-03,2020-10-01,2021-10-01,13.0,33102.0,86.0,9154.0,23.0,876.0,2801.0,70243.0,14671.0,,620.0,1769.0,4419.0,CENTRAL BASIN PLATFORM,17382.0,7316.0,33714.0,CENTRAL BASIN PLATFORM,29.0,48.0,114.0,286567.0,6758.0,620.0,1769.0,2021-07-22,4684.0,,,3980.0,3671.549,3620.0,272.365,250.9,312.7,3579.0,3.0,907.0,7.0,1468.0,3.0,9.0,3.0,3945.0,5040.0,,41.0,2020-06-25,1.0,TARGA MIDSTREAM SERVICES LLC,"PLAINS MARKETING, L.P.",55290,1095.0,,SAND HILLS,TX,8,PERMIAN BASIN,8.0,USA,,,31.525377,1113.0,-102.6936234,B21,,P-440,PSL,130881213,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,8534.0,31333.0,65559.0,,,,,,,,,,,,,,,,,,,,,,8539,0.009154,0.033102
42103367180000,1,"BLACKBEARD OPERATING, LLC",6 POUNDER NWNE,30,CRANE (TX),CLEAR FORK,OIL,ACTIVE,V,5442.0,2020-09-20,2020-10-01,2021-10-01,13.0,129498.0,330.0,24913.0,55.0,895.0,6135.0,178049.0,46496.0,,4673.0,9219.0,16711.0,CENTRAL BASIN PLATFORM,63282.0,27258.0,140012.0,CENTRAL BASIN PLATFORM,140.0,177.0,220.0,1060567.0,4151.0,4673.0,9219.0,2021-07-17,46154.0,,,1570.0,5942.638,5200.0,168.275,636.2,145.9,12691.0,5.0,4673.0,1.0,6210.0,1.0,37.0,1.0,3985.0,4915.0,,40.0,2020-10-09,1.0,TARGA MIDSTREAM SERVICES LLC,"PLAINS MARKETING, L.P.",55289,930.0,,SAND HILLS,TX,8,PERMIAN BASIN,4.0,USA,,,31.5480567,1111.0,-102.7107876,B21,,P-440,PSL,130881212,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,20240.0,120279.0,131895.0,,,,,,,,,,,,,,,,,,,,,,8250,0.024913,0.129498
42103324710000,2,"BLACKBEARD OPERATING, LLC",WADDELL TR D,,CRANE (TX),WOLFCAMP,OIL,ACTIVE,V,6526.0,1981-02-18,2020-04-01,2021-10-01,19.0,67357.0,159.0,20309.0,46.0,1482.0,8235.0,121741.0,31535.0,,156.0,2044.0,2555.0,CENTRAL BASIN PLATFORM,5335.0,3444.0,9602.0,CENTRAL BASIN PLATFORM,16.0,19.0,21.0,116516.0,9890.0,3485.0,9220.0,2021-07-15,13097.0,,,1310.0,3455.599,3320.0,289.385,762.3,180.0,10985.0,13.0,2599.0,16.0,3950.0,13.0,24.0,13.0,5800.0,6115.0,,35.0,1981-03-18,2.0,"DCP OPERATING COMPANY, LP",EASTEX CRUDE COMPANY,55151,315.0,,SAND HILLS,TX,8,PERMIAN BASIN,7.0,USA,,,31.5320414,1241.0,-102.7146699,B21,,P-440,PSL,130848209,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,16824.0,58137.0,108644.0,,,,,,,,,,,,,,,,,,,,,,0,0.020309,0.067357
42103366980000,1,"BLACKBEARD OPERATING, LLC",STEDE BONNET,5,CRANE (TX),CLEAR FORK,OIL,ACTIVE,V,6309.0,2019-12-10,2020-09-01,2021-10-01,14.0,68706.0,180.0,32606.0,82.0,2153.0,5946.0,187836.0,44057.0,,1106.0,1452.0,13784.0,CENTRAL BASIN PLATFORM,15913.0,16436.0,149543.0,CENTRAL BASIN PLATFORM,47.0,56.0,52.0,336516.0,4380.0,2575.0,3070.0,2021-07-23,44065.0,,,1100.0,2185.608,2110.0,457.539,907.9,362.1,8950.0,12.0,3300.0,8.0,4774.0,8.0,29.0,8.0,3800.0,4730.0,,34.4,2020-01-01,1.0,ENERGY TRANSFER COMPANY,"PLAINS MARKETING, L.P.",55115,930.0,,SAND HILLS,TX,8,PERMIAN BASIN,10.0,USA,,,31.5379739,1114.0,-102.6516756,B21,,P-440,PSL,130848206,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,30031.0,65636.0,143771.0,,,,,,,,,,,,,,,,,,,,,,9194,0.032606,0.068706
42103020490000,1,"BLACKBEARD OPERATING, LLC",WADDELL TR I,600,CRANE (TX),WOLFCAMP,OIL,INACTIVE,V,5875.0,1956-05-22,2020-04-01,2020-08-01,4.0,1496.0,,32.0,,,101.0,440.0,281.0,,28.0,879.0,,CENTRAL BASIN PLATFORM,,,,CENTRAL BASIN PLATFORM,0.0,2.0,13.0,13290.0,0.0,,,2021-02-01,,,,97000.0,46750.0,46750.0,21.39,10.3,0.0,879.0,1.0,28.0,1.0,175.0,1.0,1.0,1.0,5320.0,5420.0,,35.0,1969-08-01,1.0,"DCP OPERATING COMPANY, LP",EASTEX CRUDE COMPANY,55152,100.0,,SAND HILLS,TX,8,PERMIAN BASIN,11.0,USA,,,31.3435105,143.0,-102.6201336,3,,P-440,H&TC RR CO,130848205,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,32.0,1496.0,440.0,,,,,,,,,,,,,,,,,,,,,,0,3.2e-05,0.001496
42103017100000,1,"BLACKBEARD OPERATING, LLC","WADDELL, W.N. ET AL TR. I",240,CRANE (TX),ORDOVICIAN,SWD,INACTIVE,V,5655.0,,,,,,,,,,,,,,,,,CENTRAL BASIN PLATFORM,,,,CENTRAL BASIN PLATFORM,,,,,,,,,,,,,,,,,,,,,,,,,,5400.0,5655.0,,,2002-09-19,,,,05282,255.0,,SAND HILLS,TX,8,PERMIAN BASIN,17.0,USA,,,31.3796397,146.0,-102.6236249,3,,P-440,H&TC RR CO,130844421,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,,,,,,,,,,,,,,,,False,,,False,,,,,,0,,
42103367060000,1,"BLACKBEARD OPERATING, LLC",6 POUNDER NESW,26,CRANE (TX),CLEAR FORK,OIL,ACTIVE,V,5436.0,2020-03-17,2020-09-01,2021-10-01,14.0,213370.0,482.0,62354.0,146.0,2779.0,13517.0,212606.0,97916.0,,2061.0,8181.0,30891.0,CENTRAL BASIN PLATFORM,105558.0,48484.0,137668.0,CENTRAL BASIN PLATFORM,230.0,386.0,939.0,2318774.0,6619.0,9191.0,37283.0,2021-06-01,49862.0,,,4080.0,3312.21,3420.0,301.913,245.0,205.6,29102.0,2.0,7130.0,2.0,11980.0,2.0,72.0,2.0,4000.0,4930.0,,37.4,2020-09-21,1.0,TARGA MIDSTREAM SERVICES LLC,"PLAINS MARKETING, L.P.",54949,930.0,,SAND HILLS,TX,8,PERMIAN BASIN,4.0,USA,,,31.5399486,1111.0,-102.7125127,B21,,P-440,PSL,130842161,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,53163.0,176087.0,162744.0,,,,,,,,,,,,,,,,,,,,,,8250,0.062354,0.21337
42103366990000,1,"BLACKBEARD OPERATING, LLC",STEDE BONNET,3,CRANE (TX),TUBB,OIL,ACTIVE,V,6318.0,2019-12-24,2020-07-01,2021-10-01,16.0,142476.0,213.0,14725.0,24.0,1943.0,3622.0,73464.0,38471.0,,1129.0,7768.0,6960.0,CENTRAL BASIN PLATFORM,89385.0,21858.0,14577.0,CENTRAL BASIN PLATFORM,87.0,235.0,887.0,1409968.0,14735.0,5822.0,64639.0,2021-07-18,12194.0,,,10180.0,8742.783,9680.0,114.38,98.3,536.4,27497.0,2.0,2702.0,2.0,7285.0,2.0,44.0,2.0,4430.0,4850.0,,34.4,2020-07-15,1.0,ENERGY TRANSFER COMPANY,"PLAINS MARKETING, L.P.",54723,420.0,,SAND HILLS,TX,8,PERMIAN BASIN,10.0,USA,,,31.5335241,1114.0,-102.6546339,B21,,P-440,PSL,130833461,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,8903.0,77837.0,61270.0,,,,,,,,,,,,,,,,,,,,,,9194,0.014725,0.142476
42103367050000,2,"BLACKBEARD OPERATING, LLC",LANDLUBBER CW,,CRANE (TX),CLEAR FORK,OIL,ACTIVE,V,5488.0,2020-03-10,2020-08-01,2021-10-01,15.0,38592.0,80.0,31327.0,61.0,1647.0,3885.0,170709.0,37759.0,,1739.0,1754.0,16751.0,CENTRAL BASIN PLATFORM,20694.0,20200.0,75287.0,CENTRAL BASIN PLATFORM,127.0,147.0,121.0,884800.0,10782.0,9160.0,9403.0,2021-07-15,38182.0,,,950.0,1316.777,1230.0,759.43,1054.1,423.9,4142.0,4.0,3820.0,2.0,4424.0,2.0,27.0,2.0,4030.0,4960.0,,39.2,2020-08-19,2.0,TARGA MIDSTREAM SERVICES LLC,"PLAINS MARKETING, L.P.",54792,930.0,,SAND HILLS,TX,8,PERMIAN BASIN,26.0,USA,,,31.5578563,1107.0,-102.7171684,B17,,P-440,"O`NEAL, M C",130833460,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,22167.0,29189.0,132527.0,,,,,,,,,,,,,,,,,,,,,,8026,0.031327,0.038592
42103367130000,1,"BLACKBEARD OPERATING, LLC",6 POUNDER SW,27,CRANE (TX),CLEAR FORK,OIL,ACTIVE,V,5430.0,2020-03-07,2020-07-01,2021-10-01,16.0,113738.0,236.0,24425.0,34.0,692.0,6961.0,331693.0,43381.0,,2633.0,4224.0,15300.0,CENTRAL BASIN PLATFORM,43076.0,22479.0,154098.0,CENTRAL BASIN PLATFORM,146.0,218.0,430.0,1307871.0,13468.0,12086.0,27632.0,2021-07-26,121727.0,,,2940.0,6978.361,4660.0,143.3,340.6,99.4,13322.0,2.0,4537.0,2.0,6757.0,2.0,41.0,2.0,4000.0,4930.0,,44.3,2020-07-17,1.0,TARGA MIDSTREAM SERVICES LLC,"PLAINS MARKETING, L.P.",54498,930.0,,SAND HILLS,TX,8,PERMIAN BASIN,4.0,USA,,,31.5359016,1111.0,-102.7113822,B21,,P-440,PSL,130825037,,,,,,,,,,,,,"BLACKBEARD OPERATING, LLC",,12339.0,86106.0,209966.0,,,,,,,,,,,,,,,,,,,,,,8250,0.024425,0.113738
